City,Gender,Age,ItemType,Price,Units Sold,Profit,Date of purchase,Feedback (out of 5 stars),Payment Method,Discount Applied,Return Status
Jaipur,Male,40,Toys,99.77,42,735.1,2023-05-19,4.4,Cash,No,Returned
Delhi,Female,40,Toys,240.2,31,2206.67,2023-08-15,4.4,Cash,No,Not Returned
Pune,Male,47,Electronics,33.88,46,277.39,2023-01-18,2.1,UPI,Yes,Returned
Ahmedabad,Male,63,Books,120.84,25,621.68,2023-09-14,1.3,Wallet,No,Returned
Mumbai,Female,59,Groceries,195.15,8,443.11,2023-08-08,3.4,UPI,No,Returned
Chennai,Female,38,Books,35.08,29,162.27,2023-09-26,1.4,Cash,No,Returned
Lucknow,Female,35,Toys,373.92,11,740.27,2023-03-31,2.7,Credit Card,No,Returned
Lucknow,Male,63,Clothing,269.46,15,556.66,2023-12-25,4.5,Cash,Yes,Not Returned
Kolkata,Male,54,Groceries,83.8,30,488.21,2023-12-14,2.8,Credit Card,No,Not Returned
Delhi,Female,19,Electronics,45.04,7,38.88,2023-12-11,3.5,Wallet,No,Returned
Jaipur,Female,60,Groceries,393.77,43,4092.01,2023-11-25,4.4,Credit Card,Yes,Returned
Lucknow,Male,46,Toys,74.68,21,330.66,2023-01-25,4.3,UPI,Yes,Not Returned
Bengaluru,Female,19,Groceries,498.57,18,1630.27,2023-07-16,3.7,UPI,No,Returned
Pune,Male,29,Books,371.78,47,2294.04,2023-09-16,3.1,Wallet,No,Returned
Ahmedabad,Female,19,Toys,331.18,17,1557.9,2023-10-25,1.1,Cash,Yes,Not Returned
Delhi,Female,46,Clothing,99.47,32,681.22,2023-08-14,4.0,UPI,Yes,Not Returned
Hyderabad,Male,21,Electronics,339.23,11,619.22,2023-09-27,4.9,Cash,No,Returned
Chennai,Female,65,Books,27.65,14,45.09,2023-08-19,4.9,Cash,No,Not Returned
Delhi,Female,42,Books,30.63,31,113.77,2023-12-29,4.6,UPI,No,Not Returned
Jaipur,Male,50,Clothing,220.91,10,586.09,2023-02-11,1.6,Credit Card,Yes,Not Returned
Bengaluru,Female,29,Electronics,244.46,44,2748.76,2023-12-17,2.9,Cash,No,Not Returned
Ahmedabad,Male,64,Groceries,219.47,39,2200.17,2023-08-18,1.6,UPI,Yes,Not Returned
Lucknow,Female,33,Toys,174.65,33,1093.09,2023-11-26,3.8,Cash,Yes,Returned
Delhi,Female,24,Electronics,8.95,41,77.63,2023-09-10,3.1,UPI,Yes,Not Returned
Ahmedabad,Male,57,Electronics,297.56,13,922.54,2023-07-29,2.7,UPI,No,Not Returned
Kolkata,Male,51,Groceries,443.73,16,1850.83,2023-07-13,4.9,Net Banking,Yes,Not Returned
Delhi,Male,40,Books,346.01,29,1694.19,2023-05-16,3.3,Wallet,Yes,Not Returned
Jaipur,Male,44,Books,475.41,36,4985.85,2023-05-19,4.7,Cash,No,Returned
Chennai,Male,29,Groceries,263.36,45,3500.24,2023-06-10,3.4,UPI,Yes,Not Returned
Ahmedabad,Male,49,Books,415.5,25,2550.68,2023-05-07,2.3,Wallet,Yes,Returned
Jaipur,Male,52,Toys,381.56,13,656.27,2023-01-05,2.9,Credit Card,No,Not Returned
Chennai,Male,46,Electronics,57.25,9,150.89,2023-11-01,3.3,Wallet,No,Returned
Bengaluru,Female,54,Toys,206.7,40,2115.74,2023-04-23,2.2,Wallet,No,Not Returned
Pune,Male,24,Clothing,55.42,46,573.58,2023-08-08,1.5,Cash,Yes,Returned
Delhi,Female,49,Electronics,274.77,9,629.14,2023-06-21,1.5,Net Banking,Yes,Returned
Pune,Female,44,Toys,421.64,28,2024.34,2023-08-02,2.5,Cash,Yes,Not Returned
Bengaluru,Male,59,Electronics,111.44,29,495.77,2023-08-20,1.8,Cash,No,Not Returned
Ahmedabad,Male,28,Electronics,352.87,20,1564.16,2023-08-17,2.7,Cash,Yes,Not Returned
Kolkata,Female,65,Clothing,65.0,16,303.23,2023-02-03,3.8,Wallet,Yes,Returned
Lucknow,Female,51,Clothing,402.32,45,5019.83,2023-03-28,4.1,Wallet,Yes,Not Returned
Pune,Female,64,Clothing,93.46,2,37.21,2023-02-13,4.1,UPI,Yes,Not Returned
Mumbai,Male,30,Toys,209.29,49,2785.13,2023-05-28,4.3,Cash,Yes,Not Returned
Jaipur,Male,45,Toys,243.24,19,915.39,2023-03-28,4.8,Cash,No,Returned
Lucknow,Female,41,Books,284.99,28,1659.88,2023-09-01,1.6,Net Banking,No,Returned
Chennai,Male,64,Clothing,450.35,6,528.62,2023-02-26,2.9,Net Banking,No,Not Returned
Chennai,Male,59,Groceries,98.14,25,349.96,2023-03-30,2.1,UPI,Yes,Not Returned
Bengaluru,Female,38,Books,495.66,31,4455.83,2023-03-26,1.2,Net Banking,Yes,Returned
Pune,Male,52,Electronics,193.42,36,948.75,2023-03-14,2.0,Wallet,No,Not Returned
Pune,Female,38,Clothing,67.95,40,580.49,2023-10-02,1.9,UPI,No,Not Returned
Lucknow,Male,41,Groceries,267.07,8,463.11,2023-11-28,4.0,Cash,Yes,Not Returned
Pune,Female,61,Electronics,38.04,34,264.34,2023-04-29,3.9,Net Banking,No,Returned
Mumbai,Female,24,Toys,302.97,35,2743.24,2023-09-09,2.0,UPI,Yes,Not Returned
Hyderabad,Female,18,Toys,88.19,36,553.76,2023-10-15,1.5,Net Banking,Yes,Not Returned
Hyderabad,Female,20,Books,144.55,19,610.64,2023-06-17,5.0,Wallet,Yes,Returned
Ahmedabad,Female,28,Books,35.31,1,4.04,2023-07-07,2.4,Cash,Yes,Not Returned
Ahmedabad,Male,36,Electronics,79.9,31,714.34,2023-01-13,1.3,Cash,Yes,Returned
Jaipur,Female,56,Clothing,332.63,16,1427.09,2023-03-28,3.4,Credit Card,Yes,Returned
Delhi,Female,35,Electronics,32.4,32,155.94,2023-03-15,2.5,Wallet,No,Returned
Bengaluru,Male,60,Toys,195.3,47,2076.74,2023-04-20,2.3,Net Banking,Yes,Not Returned
Chennai,Male,36,Toys,90.26,9,106.78,2023-08-05,2.1,Net Banking,Yes,Returned
Hyderabad,Male,37,Clothing,83.5,25,227.12,2023-12-18,3.7,Credit Card,Yes,Returned
Ahmedabad,Female,42,Electronics,251.96,23,1191.09,2023-06-06,3.7,UPI,No,Returned
Mumbai,Male,64,Groceries,377.02,46,4314.12,2023-12-30,5.0,Credit Card,No,Returned
Chennai,Male,28,Groceries,221.48,15,568.89,2023-11-05,3.0,Credit Card,Yes,Returned
Bengaluru,Male,57,Clothing,296.39,50,2257.72,2023-10-08,1.1,UPI,Yes,Returned
Pune,Female,46,Groceries,187.03,6,174.07,2023-06-28,2.4,Wallet,No,Not Returned
Chennai,Female,27,Groceries,452.38,30,3858.12,2023-09-08,1.6,Wallet,Yes,Returned
Hyderabad,Male,34,Groceries,110.53,32,830.07,2023-07-10,5.0,Net Banking,Yes,Not Returned
Jaipur,Female,23,Clothing,484.72,13,1863.08,2023-02-09,1.4,Net Banking,No,Returned
Delhi,Male,44,Books,176.44,25,1053.96,2023-11-12,2.5,Cash,No,Returned
Kolkata,Female,24,Toys,51.34,40,470.53,2023-11-30,3.2,Credit Card,Yes,Returned
Kolkata,Female,28,Books,171.7,8,193.9,2023-10-10,2.2,UPI,Yes,Not Returned
Delhi,Male,32,Toys,100.32,43,551.19,2023-12-05,3.5,Credit Card,Yes,Returned
Delhi,Female,32,Groceries,499.2,9,1016.03,2023-01-21,4.8,Net Banking,No,Not Returned
Pune,Male,18,Toys,13.16,40,154.94,2023-05-26,3.2,Wallet,No,Returned
Lucknow,Female,38,Toys,282.55,7,425.7,2023-11-16,3.3,Cash,Yes,Returned
Mumbai,Male,57,Groceries,156.07,42,927.64,2023-04-08,2.3,Wallet,Yes,Returned
Ahmedabad,Female,30,Clothing,310.76,25,1719.44,2023-09-14,4.0,Credit Card,Yes,Returned
Delhi,Male,64,Electronics,424.52,21,2282.9,2023-04-14,1.7,Wallet,No,Returned
Delhi,Female,42,Books,442.6,49,2649.58,2023-02-07,2.4,Net Banking,No,Not Returned
Pune,Female,56,Clothing,99.98,27,689.43,2023-11-01,2.9,Credit Card,No,Returned
Mumbai,Male,18,Books,230.39,13,411.72,2023-08-02,1.2,UPI,No,Returned
Lucknow,Male,30,Books,311.72,16,616.15,2023-01-11,4.9,Credit Card,Yes,Returned
Bengaluru,Male,37,Books,84.84,10,125.26,2023-08-04,1.5,UPI,Yes,Returned
Lucknow,Female,27,Groceries,313.78,14,1065.21,2023-03-29,1.3,UPI,Yes,Returned
Kolkata,Male,18,Toys,486.43,48,5134.4,2023-09-21,2.2,Net Banking,Yes,Not Returned
Bengaluru,Male,55,Toys,338.24,30,2706.2,2023-07-27,4.4,Net Banking,Yes,Returned
Mumbai,Male,56,Books,170.37,5,186.87,2023-12-29,3.5,Credit Card,Yes,Returned
Pune,Female,65,Clothing,86.39,6,78.64,2023-09-04,4.1,Credit Card,No,Returned
Ahmedabad,Female,27,Clothing,117.95,9,313.36,2023-08-23,4.6,Cash,Yes,Not Returned
Chennai,Female,50,Clothing,46.17,50,597.18,2023-12-07,4.9,Wallet,Yes,Not Returned
Mumbai,Male,43,Electronics,220.95,33,1420.97,2023-12-31,2.5,UPI,No,Returned
Ahmedabad,Male,27,Books,243.12,35,1295.69,2023-05-04,2.6,Wallet,Yes,Not Returned
Mumbai,Male,31,Groceries,309.23,35,1302.82,2023-03-15,3.3,Net Banking,Yes,Returned
Hyderabad,Male,61,Books,267.24,9,343.62,2023-03-14,3.6,Credit Card,No,Returned
Bengaluru,Female,37,Electronics,13.25,17,51.17,2023-03-14,1.8,UPI,No,Not Returned
Pune,Female,46,Toys,213.49,47,2538.46,2023-02-25,3.5,Credit Card,No,Returned
Ahmedabad,Female,33,Books,90.38,2,37.65,2023-05-01,5.0,Wallet,Yes,Returned
Hyderabad,Male,45,Groceries,208.9,25,973.41,2023-09-22,1.0,Credit Card,No,Not Returned
Chennai,Female,25,Electronics,225.48,28,1469.07,2024-01-01,3.8,UPI,Yes,Not Returned
Ahmedabad,Female,59,Groceries,166.37,45,1625.69,2023-07-13,2.7,Net Banking,Yes,Not Returned
Kolkata,Male,29,Groceries,477.19,31,3969.46,2023-08-21,3.8,Net Banking,No,Returned
Kolkata,Female,38,Toys,192.63,19,581.87,2023-08-20,3.7,Credit Card,Yes,Returned
Delhi,Male,49,Toys,258.3,24,1767.81,2023-03-23,4.9,Wallet,Yes,Returned
Ahmedabad,Male,61,Books,90.57,49,484.83,2023-05-28,2.7,Cash,Yes,Not Returned
Bengaluru,Male,59,Toys,319.94,22,1843.87,2023-09-01,1.5,Net Banking,No,Returned
Mumbai,Male,27,Electronics,100.2,18,249.21,2023-01-25,4.7,Net Banking,No,Returned
Mumbai,Male,26,Electronics,420.87,13,744.63,2023-09-15,3.2,UPI,No,Not Returned
Kolkata,Male,45,Clothing,245.34,36,1101.26,2023-07-16,1.8,Wallet,No,Not Returned
Chennai,Male,45,Toys,227.73,47,1886.74,2023-12-28,4.9,Credit Card,Yes,Not Returned
Kolkata,Male,43,Books,47.26,26,201.32,2023-05-09,4.7,Credit Card,No,Returned
Chennai,Male,59,Electronics,394.06,8,544.32,2023-05-01,3.2,Net Banking,No,Returned
Mumbai,Male,54,Groceries,173.84,23,444.62,2023-11-23,3.4,Cash,No,Not Returned
Hyderabad,Male,50,Electronics,97.16,21,543.28,2023-11-27,4.8,Credit Card,No,Returned
Pune,Male,18,Clothing,249.26,27,748.53,2023-11-23,4.2,Net Banking,Yes,Not Returned
Hyderabad,Female,33,Toys,212.54,35,808.39,2023-02-16,2.7,Wallet,No,Not Returned
Mumbai,Female,63,Groceries,11.99,25,68.58,2023-01-12,1.2,Cash,Yes,Returned
Lucknow,Female,54,Clothing,489.68,18,1962.45,2023-11-08,1.3,Net Banking,Yes,Not Returned
Lucknow,Male,29,Groceries,222.15,45,2122.08,2023-03-19,2.7,Credit Card,Yes,Not Returned
Kolkata,Female,46,Books,441.16,7,691.72,2023-05-14,3.9,UPI,Yes,Not Returned
Pune,Male,32,Toys,120.3,1,26.04,2023-02-15,3.8,Net Banking,Yes,Not Returned
Lucknow,Male,25,Clothing,464.83,13,904.51,2023-04-13,2.2,Credit Card,Yes,Not Returned
Hyderabad,Male,29,Toys,132.59,18,627.43,2023-09-19,1.4,Cash,No,Not Returned
Delhi,Female,28,Groceries,208.0,8,275.51,2023-11-10,1.4,Net Banking,No,Not Returned
Mumbai,Female,62,Groceries,129.89,7,170.73,2023-12-22,4.5,UPI,No,Returned
Jaipur,Male,26,Books,222.63,4,159.03,2023-03-21,3.8,Wallet,Yes,Returned
Chennai,Female,22,Books,240.6,27,1283.9,2023-11-08,2.6,Cash,Yes,Returned
Mumbai,Male,25,Groceries,373.72,40,2827.58,2023-12-22,2.7,Net Banking,Yes,Not Returned
Jaipur,Female,60,Electronics,45.62,22,180.33,2023-03-14,2.2,Net Banking,Yes,Not Returned
Pune,Female,22,Clothing,423.76,5,390.7,2023-03-11,3.0,UPI,Yes,Not Returned
Delhi,Female,29,Clothing,407.44,43,2776.56,2023-05-27,2.5,Net Banking,No,Returned
Hyderabad,Female,51,Electronics,305.47,50,3175.73,2023-11-25,2.1,Net Banking,Yes,Not Returned
Jaipur,Male,20,Clothing,466.55,29,3936.14,2023-03-12,3.4,Net Banking,Yes,Not Returned
Delhi,Male,26,Electronics,485.4,40,2099.54,2023-06-27,3.1,Wallet,No,Returned
Lucknow,Male,43,Clothing,190.66,50,2280.89,2023-02-16,4.1,Cash,No,Not Returned
Mumbai,Female,50,Electronics,361.2,11,893.08,2023-03-07,1.4,Wallet,Yes,Not Returned
Bengaluru,Male,28,Groceries,113.03,5,91.68,2023-04-05,4.4,UPI,Yes,Not Returned
Chennai,Female,55,Toys,316.81,1,48.0,2023-11-16,3.9,Wallet,Yes,Returned
Bengaluru,Male,42,Electronics,160.5,15,521.25,2023-06-08,2.0,Credit Card,No,Not Returned
Delhi,Male,56,Groceries,108.47,30,778.53,2023-09-19,2.1,UPI,Yes,Not Returned
Chennai,Male,34,Groceries,228.32,18,557.77,2023-04-22,1.0,UPI,Yes,Returned
Delhi,Female,21,Toys,320.33,39,3112.62,2023-10-06,1.8,Wallet,Yes,Not Returned
Mumbai,Male,25,Toys,90.54,33,855.1,2023-02-14,4.1,Wallet,Yes,Not Returned
Hyderabad,Male,51,Electronics,408.48,30,3389.65,2023-11-17,3.6,UPI,No,Not Returned
Bengaluru,Male,50,Groceries,312.36,2,116.3,2023-06-29,3.6,Cash,No,Not Returned
Kolkata,Male,35,Electronics,29.84,10,55.83,2023-09-10,1.3,UPI,No,Returned
Ahmedabad,Female,38,Clothing,339.23,37,3587.84,2023-05-13,4.5,UPI,No,Returned
Delhi,Female,55,Groceries,59.92,18,275.46,2023-03-30,3.6,UPI,No,Returned
Lucknow,Male,21,Electronics,440.06,44,5596.72,2023-11-07,1.6,Wallet,No,Not Returned
Jaipur,Female,43,Electronics,206.8,27,1424.89,2023-03-01,3.1,Net Banking,Yes,Returned
Delhi,Male,54,Clothing,34.64,31,156.98,2023-10-10,4.7,Net Banking,No,Not Returned
Kolkata,Female,25,Groceries,171.3,22,740.55,2023-10-18,1.2,Cash,Yes,Returned
Jaipur,Female,38,Electronics,234.66,32,2217.82,2023-12-04,4.8,Credit Card,No,Returned
Ahmedabad,Male,40,Groceries,400.27,2,143.83,2023-04-08,2.4,Credit Card,Yes,Returned
Delhi,Female,22,Electronics,20.02,39,229.76,2023-02-25,1.7,Wallet,Yes,Not Returned
Jaipur,Female,24,Clothing,343.63,7,240.59,2023-06-17,4.6,UPI,No,Not Returned
Delhi,Male,55,Electronics,87.21,44,578.47,2023-06-24,4.4,Wallet,Yes,Not Returned
Lucknow,Female,56,Toys,116.76,43,805.87,2023-05-08,2.3,Cash,No,Returned
Lucknow,Female,42,Clothing,414.44,47,4593.88,2023-01-05,1.8,Net Banking,Yes,Not Returned
Hyderabad,Female,61,Books,241.81,49,3113.17,2023-09-23,1.3,UPI,Yes,Not Returned
Ahmedabad,Male,31,Toys,265.58,27,808.57,2023-12-21,4.4,Cash,No,Not Returned
Kolkata,Female,46,Books,446.72,5,250.88,2023-01-23,4.7,Net Banking,No,Not Returned
Chennai,Male,48,Books,225.02,5,174.03,2023-11-01,4.9,Credit Card,No,Not Returned
Bengaluru,Male,61,Toys,175.82,39,1809.34,2023-10-18,2.0,Net Banking,No,Returned
Delhi,Female,53,Toys,410.38,27,2274.44,2023-05-25,4.7,Credit Card,No,Returned
Kolkata,Female,39,Clothing,436.62,13,1520.87,2023-03-18,2.1,Credit Card,Yes,Returned
Jaipur,Male,26,Clothing,441.21,48,4576.65,2023-04-10,3.5,UPI,No,Returned
Delhi,Male,27,Clothing,287.93,8,372.51,2023-03-08,3.7,Wallet,Yes,Returned
Lucknow,Female,20,Electronics,223.71,31,1838.76,2023-05-14,3.5,UPI,Yes,Returned
Bengaluru,Female,54,Books,410.01,8,332.0,2023-08-07,4.5,Net Banking,Yes,Returned
Chennai,Male,22,Toys,290.99,39,1641.6,2023-06-02,3.9,Wallet,No,Not Returned
Pune,Male,56,Toys,140.11,25,659.18,2023-04-17,4.7,Net Banking,Yes,Returned
Ahmedabad,Male,22,Groceries,351.87,9,623.08,2023-01-15,3.9,UPI,No,Not Returned
Pune,Female,29,Groceries,252.3,16,646.73,2023-12-05,2.8,Net Banking,Yes,Not Returned
Jaipur,Female,30,Electronics,48.21,14,116.87,2023-11-10,1.7,Wallet,No,Not Returned
Chennai,Female,44,Books,159.59,15,296.78,2023-03-25,4.6,UPI,No,Not Returned
Delhi,Male,44,Groceries,96.89,16,458.26,2023-03-16,3.5,UPI,No,Not Returned
Mumbai,Female,42,Toys,487.54,3,283.8,2023-05-28,4.3,Wallet,Yes,Returned
Jaipur,Female,57,Groceries,304.44,7,546.11,2023-09-07,4.7,UPI,No,Returned
Kolkata,Male,49,Toys,349.71,5,300.38,2023-03-25,3.0,UPI,No,Returned
Pune,Male,33,Clothing,22.58,4,23.49,2023-07-23,4.4,Credit Card,Yes,Returned
Pune,Male,59,Groceries,490.82,42,5533.51,2023-10-25,4.2,Net Banking,Yes,Returned
Delhi,Male,19,Toys,118.36,27,567.27,2023-11-03,3.8,Net Banking,Yes,Not Returned
Lucknow,Female,56,Toys,264.52,25,890.33,2023-07-14,3.0,Cash,Yes,Not Returned
Jaipur,Male,44,Books,292.39,3,97.25,2023-04-21,4.7,UPI,Yes,Not Returned
Delhi,Male,23,Books,66.05,40,687.15,2023-11-30,4.8,Wallet,No,Returned
Ahmedabad,Male,24,Toys,240.05,17,1194.58,2023-11-14,1.6,Cash,Yes,Not Returned
Ahmedabad,Female,65,Electronics,413.16,33,3665.28,2023-01-05,2.3,Wallet,No,Returned
Bengaluru,Male,44,Electronics,67.69,25,342.64,2023-09-01,4.5,Net Banking,Yes,Returned
Chennai,Female,57,Groceries,230.83,7,454.9,2023-12-20,2.5,Wallet,Yes,Not Returned
Jaipur,Male,64,Clothing,345.26,39,2709.15,2023-04-21,3.9,Wallet,Yes,Not Returned
Lucknow,Male,44,Groceries,213.18,18,505.57,2023-06-11,1.3,Credit Card,No,Returned
Mumbai,Male,64,Clothing,266.09,10,521.12,2023-06-11,2.5,Cash,Yes,Returned
Ahmedabad,Female,63,Toys,118.0,11,239.24,2023-06-07,5.0,Credit Card,No,Not Returned
Ahmedabad,Female,31,Electronics,48.05,9,114.17,2023-06-24,3.6,Net Banking,No,Returned
Chennai,Male,47,Electronics,351.52,48,3057.69,2023-09-06,2.6,Cash,No,Not Returned
Jaipur,Female,19,Books,195.03,8,227.63,2023-12-29,1.1,Net Banking,No,Returned
Bengaluru,Female,27,Groceries,155.33,8,174.54,2023-07-01,4.5,UPI,Yes,Returned
Chennai,Male,43,Groceries,40.51,28,255.59,2023-10-31,4.3,Cash,Yes,Returned
Pune,Male,61,Clothing,217.83,15,637.04,2023-01-12,2.3,Cash,Yes,Returned
Bengaluru,Female,18,Clothing,243.46,18,1225.17,2023-12-26,4.7,Cash,Yes,Not Returned
Jaipur,Male,46,Books,299.54,17,1239.28,2023-09-26,2.9,UPI,Yes,Returned
Mumbai,Female,58,Electronics,26.32,22,101.56,2023-01-22,4.0,Net Banking,No,Not Returned
Delhi,Female,51,Toys,250.11,21,1232.58,2023-05-27,3.9,Wallet,No,Not Returned
Delhi,Female,59,Books,494.51,2,188.67,2023-09-09,4.9,Cash,No,Not Returned
Hyderabad,Male,24,Books,279.69,8,478.88,2023-06-09,1.7,Cash,Yes,Not Returned
Hyderabad,Female,41,Books,373.48,6,488.88,2023-02-08,3.8,Net Banking,Yes,Returned
Bengaluru,Male,27,Toys,342.23,22,2121.58,2023-08-05,3.0,Wallet,Yes,Not Returned
Pune,Male,37,Clothing,428.82,46,4847.82,2023-02-19,4.6,Wallet,Yes,Not Returned
Jaipur,Male,52,Groceries,353.9,25,1522.78,2023-11-29,4.7,Net Banking,Yes,Not Returned
Pune,Male,60,Electronics,347.54,38,1907.88,2023-12-15,2.5,Net Banking,No,Not Returned
Chennai,Male,28,Clothing,358.49,31,2064.08,2023-01-07,3.7,Cash,No,Not Returned
Delhi,Female,54,Books,331.41,15,1387.28,2023-01-27,2.0,Wallet,Yes,Not Returned
Bengaluru,Male,38,Books,319.01,7,349.11,2023-08-28,1.1,Credit Card,Yes,Returned
Bengaluru,Male,27,Books,394.0,38,3939.8,2023-04-28,4.8,Credit Card,Yes,Not Returned
Delhi,Male,45,Toys,204.56,12,714.81,2023-01-24,2.7,Cash,No,Not Returned
Mumbai,Male,63,Clothing,259.94,22,1481.54,2023-02-05,1.3,UPI,Yes,Returned
Mumbai,Male,40,Electronics,81.58,25,561.92,2023-06-21,2.5,Cash,Yes,Not Returned
Ahmedabad,Male,59,Books,36.99,4,24.02,2023-07-03,1.5,Wallet,No,Not Returned
Chennai,Female,50,Groceries,15.59,40,65.52,2023-12-16,2.0,Wallet,No,Returned
Pune,Male,39,Electronics,484.95,48,4664.43,2023-07-08,4.3,Net Banking,No,Returned
Hyderabad,Female,27,Groceries,58.14,9,69.85,2023-02-09,2.2,Wallet,No,Returned
Pune,Female,50,Electronics,91.74,21,334.29,2023-10-06,2.4,Wallet,No,Not Returned
Bengaluru,Female,40,Toys,23.82,4,16.13,2023-03-13,3.1,Cash,No,Returned
Bengaluru,Male,63,Groceries,48.6,6,54.01,2024-01-01,4.3,Net Banking,Yes,Returned
Lucknow,Female,64,Toys,50.27,25,149.07,2023-02-22,1.0,UPI,Yes,Not Returned
Chennai,Male,25,Clothing,497.56,40,3659.68,2023-11-11,4.7,Net Banking,Yes,Returned
Ahmedabad,Female,61,Books,226.39,6,234.13,2023-06-19,2.5,Credit Card,No,Not Returned
Pune,Female,44,Groceries,36.16,19,183.4,2023-08-22,3.0,Cash,Yes,Not Returned
Delhi,Male,55,Books,300.27,50,4471.68,2023-07-03,2.5,Credit Card,Yes,Not Returned
Pune,Male,64,Books,367.93,4,215.71,2023-07-06,4.4,UPI,No,Returned
Hyderabad,Male,18,Clothing,141.79,31,1252.55,2023-08-03,3.7,Net Banking,No,Returned
Pune,Female,23,Electronics,256.44,40,2382.01,2023-02-03,1.0,Credit Card,No,Not Returned
Bengaluru,Male,36,Groceries,172.68,8,232.43,2023-11-20,2.8,Credit Card,No,Returned
Chennai,Male,46,Electronics,333.67,4,195.73,2023-11-17,4.8,Net Banking,Yes,Not Returned
Jaipur,Male,59,Clothing,482.12,42,5247.21,2023-10-31,4.9,Credit Card,No,Not Returned
Ahmedabad,Female,21,Toys,108.02,36,1133.83,2023-04-17,3.3,Credit Card,No,Returned
Pune,Male,34,Electronics,485.77,24,1485.11,2023-08-03,2.1,UPI,No,Not Returned
Mumbai,Female,36,Clothing,354.44,2,119.84,2023-02-01,4.0,Net Banking,No,Not Returned
Delhi,Female,50,Clothing,195.67,36,952.99,2023-03-14,2.4,Credit Card,Yes,Returned
Mumbai,Male,61,Clothing,142.85,50,817.94,2023-08-31,2.9,Cash,No,Returned
Pune,Female,33,Electronics,355.31,19,1952.17,2023-02-03,1.4,Credit Card,Yes,Returned
Pune,Male,44,Electronics,291.0,32,1004.65,2023-04-08,4.5,Wallet,No,Not Returned
Delhi,Male,23,Electronics,399.83,41,4424.01,2023-10-03,2.7,Wallet,No,Returned
Kolkata,Female,24,Clothing,116.49,43,1298.41,2023-07-02,2.5,Net Banking,No,Not Returned
Hyderabad,Female,64,Toys,22.85,26,89.54,2023-03-21,1.5,Net Banking,Yes,Not Returned
Delhi,Female,19,Clothing,59.19,5,75.52,2023-02-11,2.2,Credit Card,Yes,Returned
Chennai,Female,35,Electronics,126.2,31,950.31,2023-02-22,2.4,Net Banking,No,Returned
Bengaluru,Female,41,Groceries,73.94,9,133.01,2023-11-16,1.7,UPI,No,Not Returned
Chennai,Male,60,Electronics,150.33,34,904.56,2023-11-08,4.3,Net Banking,Yes,Returned
Jaipur,Female,38,Clothing,262.78,49,1713.86,2023-10-20,4.0,Net Banking,No,Returned
Chennai,Male,62,Electronics,370.32,36,2891.39,2023-04-26,3.9,Wallet,No,Returned
Delhi,Female,27,Electronics,475.68,45,2512.21,2023-05-16,3.6,Net Banking,No,Not Returned
Mumbai,Male,21,Books,130.51,16,477.07,2023-12-10,1.6,Credit Card,No,Not Returned
Lucknow,Male,32,Clothing,223.92,20,1015.97,2023-12-18,3.5,Cash,Yes,Returned
Jaipur,Male,37,Toys,215.08,18,1129.13,2023-10-27,2.3,Credit Card,Yes,Not Returned
Hyderabad,Female,48,Books,388.93,11,975.87,2023-08-15,1.3,Cash,No,Returned
Kolkata,Male,36,Books,455.85,47,5026.29,2023-03-10,2.6,Cash,No,Returned
Jaipur,Female,40,Books,273.02,22,1783.86,2023-10-29,1.4,Wallet,Yes,Returned
Chennai,Female,47,Books,140.39,40,1209.88,2023-10-12,2.3,Wallet,Yes,Returned
Delhi,Male,21,Groceries,411.03,10,1016.48,2023-02-11,4.6,UPI,No,Returned
Ahmedabad,Female,26,Books,473.09,49,5983.83,2023-08-22,1.8,UPI,Yes,Returned
Lucknow,Male,31,Electronics,76.02,21,457.22,2023-03-14,3.6,UPI,Yes,Returned
Ahmedabad,Female,57,Groceries,276.56,42,2412.36,2023-02-08,4.6,Cash,No,Not Returned
Mumbai,Female,33,Groceries,440.18,4,366.85,2023-07-14,2.6,Cash,Yes,Not Returned
Hyderabad,Male,42,Clothing,77.27,16,314.17,2023-11-11,4.9,Net Banking,No,Not Returned
Lucknow,Female,35,Groceries,341.56,28,2728.97,2023-12-23,4.7,Wallet,Yes,Returned
Kolkata,Female,51,Groceries,264.4,4,204.65,2023-04-19,1.6,Net Banking,Yes,Not Returned
Bengaluru,Male,48,Toys,86.99,39,426.54,2023-04-06,1.8,Credit Card,Yes,Not Returned
Pune,Male,46,Clothing,173.33,3,102.63,2023-02-05,1.5,UPI,Yes,Not Returned
Mumbai,Female,41,Groceries,258.33,9,300.26,2023-03-07,3.7,Wallet,No,Returned
Delhi,Female,50,Books,255.01,33,2225.8,2023-09-05,1.8,UPI,No,Returned
Jaipur,Female,48,Toys,222.41,1,52.3,2023-09-04,4.6,Credit Card,No,Not Returned
Ahmedabad,Male,53,Electronics,105.43,29,844.41,2023-12-30,4.8,Wallet,No,Not Returned
Kolkata,Male,23,Clothing,100.62,22,435.26,2023-03-16,4.8,Credit Card,No,Not Returned
Mumbai,Male,37,Electronics,220.18,25,705.42,2023-07-08,3.7,Net Banking,No,Not Returned
Delhi,Female,52,Toys,398.34,29,3309.45,2023-05-31,2.4,Wallet,No,Returned
Jaipur,Male,42,Groceries,379.96,1,79.16,2023-09-27,4.7,Wallet,Yes,Returned
Bengaluru,Male,46,Groceries,198.05,19,921.61,2023-02-03,2.9,Cash,No,Returned
